Name,URL1,URL2,First Category
Louise Bonham,https://fr.wikipedia.org/?curid=10905009,https://fr.wikipedia.org/wiki/Louise Bonham,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Alfre Woodard,https://fr.wikipedia.org/?curid=1090359,https://fr.wikipedia.org/wiki/Alfre Woodard,Article utilisant une Infobox
Ute Sch\u00e4fer,https://fr.wikipedia.org/?curid=10903764,https://fr.wikipedia.org/wiki/Ute Sch\u00e4fer,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
Yamina Bouchaouante,https://fr.wikipedia.org/?curid=10905691,https://fr.wikipedia.org/wiki/Yamina Bouchaouante,Wikip\u00e9dia:\u00e9bauche athl\u00e8te fran\u00e7ais
Ir\u00e8ne Donzelot,https://fr.wikipedia.org/?curid=10907894,https://fr.wikipedia.org/wiki/Ir\u00e8ne Donzelot,Wikip\u00e9dia:\u00e9bauche athl\u00e8te fran\u00e7ais
Marta Kostyuk,https://fr.wikipedia.org/?curid=10905325,https://fr.wikipedia.org/wiki/Marta Kostyuk,Article utilisant une Infobox
Lauren Barnett,https://fr.wikipedia.org/?curid=10904346,https://fr.wikipedia.org/wiki/Lauren Barnett,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
C\u00e9line Nyanga,https://fr.wikipedia.org/?curid=10906145,https://fr.wikipedia.org/wiki/C\u00e9line Nyanga,Wikip\u00e9dia:\u00e9bauche athl\u00e8te fran\u00e7ais
Ninon Chapelle,https://fr.wikipedia.org/?curid=10906243,https://fr.wikipedia.org/wiki/Ninon Chapelle,Article utilisant une Infobox
Ricarda Lisk,https://fr.wikipedia.org/?curid=10906687,https://fr.wikipedia.org/wiki/Ricarda Lisk,Wikip\u00e9dia:\u00e9bauche triathlon
Christiane Pilz,https://fr.wikipedia.org/?curid=10907552,https://fr.wikipedia.org/wiki/Christiane Pilz,Wikip\u00e9dia:\u00e9bauche triathlon
Esna (chanteuse),https://fr.wikipedia.org/?curid=10898532,https://fr.wikipedia.org/wiki/Esna (chanteuse),Article utilisant une Infobox
Teodora Kakhiani,https://fr.wikipedia.org/?curid=10923383,https://fr.wikipedia.org/wiki/Teodora Kakhiani,Article \u00e0 illustrer Escrimeur
Belle Knox,https://fr.wikipedia.org/?curid=10926488,https://fr.wikipedia.org/wiki/Belle Knox,Article contenant un lien mort
Katherine Wallace,https://fr.wikipedia.org/?curid=10926692,https://fr.wikipedia.org/wiki/Katherine Wallace,Article contenant un lien mort
Camilla Crociani,https://fr.wikipedia.org/?curid=10926770,https://fr.wikipedia.org/wiki/Camilla Crociani,Article manquant de r\u00e9f\u00e9rences depuis juin 2017
Bhumi Pednekar,https://fr.wikipedia.org/?curid=10874043,https://fr.wikipedia.org/wiki/Bhumi Pednekar,Page utilisant des donn\u00e9es de Wikidata \u00e0 traduire de l'anglais
Bian Ka,https://fr.wikipedia.org/?curid=10875837,https://fr.wikipedia.org/wiki/Bian Ka,Wikip\u00e9dia:\u00e9bauche athl\u00e9tisme
Julia Viellehner,https://fr.wikipedia.org/?curid=10881999,https://fr.wikipedia.org/wiki/Julia Viellehner,Wikip\u00e9dia:\u00e9bauche triathl\u00e8te
