Name,URL1,URL2,First Category
Nad\u00e8ge Bobillier-Chaumont,https://fr.wikipedia.org/?curid=1665774,https://fr.wikipedia.org/wiki/Nad\u00e8ge Bobillier-Chaumont,Article \u00e0 illustrer Patineur artistique
Marisol Nichols,https://fr.wikipedia.org/?curid=1666557,https://fr.wikipedia.org/wiki/Marisol Nichols,Wikip\u00e9dia:\u00e9bauche acteur am\u00e9ricain
Nusch \u00c9luard,https://fr.wikipedia.org/?curid=1602018,https://fr.wikipedia.org/wiki/Nusch \u00c9luard,Article contenant un appel \u00e0 traduction en anglais
Nathalie Cardone,https://fr.wikipedia.org/?curid=162670,https://fr.wikipedia.org/wiki/Nathalie Cardone,Page utilisant P569
Marie Wimer,https://fr.wikipedia.org/?curid=1638788,https://fr.wikipedia.org/wiki/Marie Wimer,Article \u00e0 illustrer Joueur de tennis
Un th\u00e9 au Sahara (film),https://fr.wikipedia.org/?curid=1642405,https://fr.wikipedia.org/wiki/Un th\u00e9 au Sahara (film),Identifiant Bifi titre identique sur Wikidata
Lani O'Grady,https://fr.wikipedia.org/?curid=1648137,https://fr.wikipedia.org/wiki/Lani O'Grady,Article \u00e0 illustrer Personnalit\u00e9 du cin\u00e9ma
Ishtar (chanteuse),https://fr.wikipedia.org/?curid=1600367,https://fr.wikipedia.org/wiki/Ishtar (chanteuse),Article contenant un lien mort
Aleksandra Wozniak,https://fr.wikipedia.org/?curid=1600726,https://fr.wikipedia.org/wiki/Aleksandra Wozniak,Article utilisant une Infobox
Dinara Safina,https://fr.wikipedia.org/?curid=197370,https://fr.wikipedia.org/wiki/Dinara Safina,Article utilisant une Infobox
Chim\u00e8ne Badi,https://fr.wikipedia.org/?curid=197175,https://fr.wikipedia.org/wiki/Chim\u00e8ne Badi,Article contenant un lien mort
Chiara Stella Bux,https://fr.wikipedia.org/?curid=1974895,https://fr.wikipedia.org/wiki/Chiara Stella Bux,Wikip\u00e9dia:\u00e9bauche karat\u00e9ka italien
Amel Bent,https://fr.wikipedia.org/?curid=195468,https://fr.wikipedia.org/wiki/Amel Bent,Article contenant un lien mort
Martin Scorsese,https://fr.wikipedia.org/?curid=1964,https://fr.wikipedia.org/wiki/Martin Scorsese,Article contenant un lien mort
Sarah Haskins,https://fr.wikipedia.org/?curid=1962981,https://fr.wikipedia.org/wiki/Sarah Haskins,Article utilisant une Infobox
Luc\u00e9lia Ribeiro,https://fr.wikipedia.org/?curid=1958301,https://fr.wikipedia.org/wiki/Luc\u00e9lia Ribeiro,Article contenant un lien mort
Ronda Rousey,https://fr.wikipedia.org/?curid=1959293,https://fr.wikipedia.org/wiki/Ronda Rousey,Article \u00e0 recycler/Liste compl\u00e8te
Tong Wen,https://fr.wikipedia.org/?curid=1959420,https://fr.wikipedia.org/wiki/Tong Wen,Wikip\u00e9dia:\u00e9bauche judo
Sofiya Kaspulatova,https://fr.wikipedia.org/?curid=1942905,https://fr.wikipedia.org/wiki/Sofiya Kaspulatova,Wikip\u00e9dia:\u00e9bauche karat\u00e9ka
Amandine Henry,https://fr.wikipedia.org/?curid=1944961,https://fr.wikipedia.org/wiki/Amandine Henry,Article utilisant une Infobox
Lita Ford,https://fr.wikipedia.org/?curid=1977144,https://fr.wikipedia.org/wiki/Lita Ford,Article manquant de r\u00e9f\u00e9rences depuis septembre 2014
Teresa Nzola Meso Ba,https://fr.wikipedia.org/?curid=1796615,https://fr.wikipedia.org/wiki/Teresa Nzola Meso Ba,Wikip\u00e9dia:\u00e9bauche athl\u00e8te fran\u00e7ais
Julia Matijass,https://fr.wikipedia.org/?curid=1811542,https://fr.wikipedia.org/wiki/Julia Matijass,Wikip\u00e9dia:\u00e9bauche judo
Annett B\u00f6hm,https://fr.wikipedia.org/?curid=1811658,https://fr.wikipedia.org/wiki/Annett B\u00f6hm,Wikip\u00e9dia:\u00e9bauche judo
Susanthika Jayasinghe,https://fr.wikipedia.org/?curid=1815397,https://fr.wikipedia.org/wiki/Susanthika Jayasinghe,Article utilisant une Infobox
Antonietta Di Martino,https://fr.wikipedia.org/?curid=1815431,https://fr.wikipedia.org/wiki/Antonietta Di Martino,Article utilisant une Infobox
Mariem Alaoui Selsouli,https://fr.wikipedia.org/?curid=1815522,https://fr.wikipedia.org/wiki/Mariem Alaoui Selsouli,Wikip\u00e9dia:\u00e9bauche athl\u00e8te marocain
Sabrina Washington,https://fr.wikipedia.org/?curid=1768045,https://fr.wikipedia.org/wiki/Sabrina Washington,Article utilisant une Infobox
Suzanne Deve,https://fr.wikipedia.org/?curid=1765295,https://fr.wikipedia.org/wiki/Suzanne Deve,Article utilisant une Infobox
Yvonne de Pfeffel,https://fr.wikipedia.org/?curid=1765305,https://fr.wikipedia.org/wiki/Yvonne de Pfeffel,Article \u00e0 illustrer Joueur de tennis
Yvonne Bourgeois,https://fr.wikipedia.org/?curid=1765308,https://fr.wikipedia.org/wiki/Yvonne Bourgeois,Article \u00e0 illustrer Joueur de tennis
Olga Govortsova,https://fr.wikipedia.org/?curid=1700833,https://fr.wikipedia.org/wiki/Olga Govortsova,Article utilisant une Infobox
Aliz\u00e9e,https://fr.wikipedia.org/?curid=170338,https://fr.wikipedia.org/wiki/Aliz\u00e9e,Article contenant un lien mort
Nancy Pelosi,https://fr.wikipedia.org/?curid=170376,https://fr.wikipedia.org/wiki/Nancy Pelosi,Article utilisant une Infobox
Beth Phoenix,https://fr.wikipedia.org/?curid=1812437,https://fr.wikipedia.org/wiki/Beth Phoenix,Page utilisant P27
Miss Italie,https://fr.wikipedia.org/?curid=1811193,https://fr.wikipedia.org/wiki/Miss Italie,Article utilisant une Infobox
Mary Onyali,https://fr.wikipedia.org/?curid=1696150,https://fr.wikipedia.org/wiki/Mary Onyali,Article utilisant une Infobox
Kristine Lilly,https://fr.wikipedia.org/?curid=1794371,https://fr.wikipedia.org/wiki/Kristine Lilly,Wikip\u00e9dia:\u00e9bauche joueuse am\u00e9ricaine de soccer
Bobbie Gentry,https://fr.wikipedia.org/?curid=1794583,https://fr.wikipedia.org/wiki/Bobbie Gentry,Page utilisant P569
Renate G\u00f6tschl,https://fr.wikipedia.org/?curid=199961,https://fr.wikipedia.org/wiki/Renate G\u00f6tschl,Article utilisant une Infobox
Marianne Vos,https://fr.wikipedia.org/?curid=2000161,https://fr.wikipedia.org/wiki/Marianne Vos,Page utilisant P569
Nicole Cooke,https://fr.wikipedia.org/?curid=2000201,https://fr.wikipedia.org/wiki/Nicole Cooke,Page utilisant P569
Sun Feifei,https://fr.wikipedia.org/?curid=1983709,https://fr.wikipedia.org/wiki/Sun Feifei,Wikip\u00e9dia:\u00e9bauche acteur chinois
Yury Rybak,https://fr.wikipedia.org/?curid=2004934,https://fr.wikipedia.org/wiki/Yury Rybak,Wikip\u00e9dia:\u00e9bauche judo
Stacie Orrico,https://fr.wikipedia.org/?curid=1978684,https://fr.wikipedia.org/wiki/Stacie Orrico,Article utilisant une Infobox
Heidy Rodr\u00edguez,https://fr.wikipedia.org/?curid=1975472,https://fr.wikipedia.org/wiki/Heidy Rodr\u00edguez,Page utilisant P569
Janica Kosteli\u0107,https://fr.wikipedia.org/?curid=199766,https://fr.wikipedia.org/wiki/Janica Kosteli\u0107,Article utilisant une Infobox
Anja P\u00e4rson,https://fr.wikipedia.org/?curid=199716,https://fr.wikipedia.org/wiki/Anja P\u00e4rson,Article utilisant une Infobox
Jocelyne Triadou,https://fr.wikipedia.org/?curid=1981675,https://fr.wikipedia.org/wiki/Jocelyne Triadou,Wikip\u00e9dia:\u00e9bauche judo
