file_name,column_type
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,datetime
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_28_v4.json,UNKNOWN
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_29_v4.json,PERSON
instance_30_v4.json,TYPOGRAPHICAL ELEMENT
instance_30_v4.json,UNKNOWN
instance_30_v4.json,PERSON
instance_30_v4.json,PERSON
instance_30_v4.json,datetime
instance_30_v4.json,PERSON
instance_30_v4.json,TYPOGRAPHICAL ELEMENT
instance_30_v4.json,UNKNOWN
instance_30_v4.json,PERSON
instance_30_v4.json,PERSON
instance_30_v4.json,datetime
instance_30_v4.json,PERSON
instance_30_v4.json,TYPOGRAPHICAL ELEMENT
instance_30_v4.json,UNKNOWN
instance_30_v4.json,PERSON
instance_30_v4.json,PERSON
instance_30_v4.json,datetime
instance_30_v4.json,PERSON
instance_31_v4.json,UNKNOWN
instance_31_v4.json,PERSON
instance_31_v4.json,PERSON
instance_31_v4.json,datetime
instance_31_v4.json,UNKNOWN
instance_31_v4.json,UNKNOWN
instance_31_v4.json,PERSON
instance_31_v4.json,PERSON
instance_31_v4.json,datetime
instance_31_v4.json,UNKNOWN
instance_31_v4.json,UNKNOWN
instance_31_v4.json,PERSON
instance_31_v4.json,PERSON
instance_31_v4.json,datetime
instance_31_v4.json,UNKNOWN
instance_31_v4.json,UNKNOWN
instance_31_v4.json,PERSON
instance_31_v4.json,PERSON
instance_31_v4.json,datetime
instance_31_v4.json,UNKNOWN
instance_31_v4.json,UNKNOWN
instance_31_v4.json,PERSON
instance_31_v4.json,PERSON
instance_31_v4.json,datetime
instance_31_v4.json,UNKNOWN
instance_32_v4.json,UNKNOWN
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,UNKNOWN
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,UNKNOWN
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,UNKNOWN
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,CARDINAL
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
instance_32_v4.json,datetime
instance_32_v4.json,PERCENT
